Equipment,type,Formula,ID,Length,Internal_design_pressure,Maximum_allowable_stress,Density_of_material,Joint_efficiency
separator,FRONT HEAD,1,3.506,0.9435,6210000,129000000,7850,1
separator,Straight Flange on FRONT HEAD,2,3.506,0.05,6210000,129000000,7850,1
separator,SHELL,2,3.506,20.9,6210000,129000000,7850,1
separator,Straight Flange on REAR HEAD,2,3.506,0.05,6210000,129000000,7850,1
separator,REAR HEAD ,1,3.506,0.9435,6210000,129000000,7850,1
slug cutcher,FRONT HEAD,1,3.806,1.0241,6210000,129000000,7850,1
slug cutcher,Straight Flange on FRONT HEAD,2,3.806,0.05,6210000,129000000,7850,1
slug cutcher,SHELL,2,3.806,22.7,6210000,129000000,7850,1
slug cutcher,Straight Flange on REAR HEAD,2,3.806,0.05,6210000,129000000,7850,1
slug cutcher,REAR HEAD ,1,3.806,1.0241,6210000,129000000,7850,1
gas scrubber,FRONT HEAD,1,5.206,1.3983,6210000,129000000,7850,1
gas scrubber,Straight Flange on FRONT HEAD,2,5.206,0.04,6210000,129000000,7850,1
gas scrubber,SHELL,2,5.206,6.82,6210000,129000000,7850,1
gas scrubber,Straight Flange on REAR HEAD,2,5.206,0.04,6210000,129000000,7850,1
gas scrubber,REAR HEAD ,1,5.206,1.3983,6210000,129000000,7850,1
gas scrubber,UPPER SUPPORT SKIRT ,1,5.39,0.5164,6210000,129000000,7850,1
gas scrubber,LOWER SUPPORT SKIRT ,1,5.39,2.1,6210000,129000000,7850,1
